                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.53294,                0.30542,                0.95764,                0.88173,                0.91509,                 0.9345,                0.62129,                 1.2449,                0.51914,                 1.7208,             0.00037945,             0.00037945,             0.00037945
                    132,                0.51447,                0.29426,                 0.9452,                0.88174,                0.88177,                0.91905,                0.60187,                 1.2355,                0.53269,                 1.7407,             0.00037902,             0.00037902,             0.00037902
                    133,                0.51965,                0.30388,                0.95043,                0.89752,                0.87812,                0.91502,                0.60692,                 1.2621,                0.52386,                 1.7841,             0.00037858,             0.00037858,             0.00037858
                    134,                0.51955,                0.29455,                 0.9524,                0.87122,                0.92414,                0.91411,                0.61329,                 1.2606,                0.53031,                 1.7819,             0.00037815,             0.00037815,             0.00037815
                    135,                0.56045,                0.31842,                0.97749,                0.88016,                0.91891,                0.92576,                0.61528,                 1.2484,                0.51002,                 1.7502,             0.00037772,             0.00037772,             0.00037772
                    136,                0.53297,                0.30452,                0.96387,                0.90674,                0.90758,                0.93626,                0.60888,                  1.258,                0.53242,                 1.7598,             0.00037729,             0.00037729,             0.00037729
                    137,                0.50435,                0.29053,                0.94564,                0.91918,                0.88591,                 0.9339,                0.62278,                 1.2332,                0.51079,                 1.7196,             0.00037686,             0.00037686,             0.00037686
                    138,                0.52536,                0.30313,                0.95607,                0.89675,                0.90107,                0.94043,                 0.6329,                 1.2183,                0.49007,                 1.7207,             0.00037643,             0.00037643,             0.00037643
                    139,                0.52568,                0.29829,                0.94874,                0.91773,                0.90834,                0.93116,                 0.6166,                 1.2412,                0.52525,                 1.7274,               0.000376,               0.000376,               0.000376
                    140,                0.51162,                0.30199,                 0.9496,                0.89127,                 0.9036,                 0.9207,                0.60485,                  1.228,                0.55847,                 1.7181,             0.00037557,             0.00037557,             0.00037557
                    141,                0.51629,                0.30285,                0.95276,                0.88934,                0.90923,                0.92498,                0.61286,                 1.2291,                0.53151,                 1.7613,             0.00037514,             0.00037514,             0.00037514
                    142,                 0.5085,                0.29864,                0.93749,                0.89394,                0.90653,                0.92064,                0.60732,                 1.2398,                0.54207,                 1.7574,             0.00037471,             0.00037471,             0.00037471
                    143,                0.50702,                0.29734,                0.93713,                0.88913,                0.93128,                0.92894,                0.60341,                 1.2484,                0.51552,                 1.7578,             0.00037428,             0.00037428,             0.00037428
